Comment,Specialist,Subclass,Severity
Patient is experiencing blurry vision due to Arthritis.,Dermatologist,Arthritis,4
blurry vision symptoms have been observed in this case leading to Heart Disease diagnosis.,Cardiologist,Heart Disease,4
Complaints of joint swelling have been confirmed with Heart Disease issues.,Dermatologist,Heart Disease,1
Patient is experiencing blurry vision due to Diabetes.,Ophthalmologist,Diabetes,4
chest pain symptoms have been observed in this case leading to Arthritis diagnosis.,Psychiatrist,Arthritis,4
Complaints of anxiety have been confirmed with Heart Disease issues.,Orthopedist,Heart Disease,9
itchy skin symptoms have been observed in this case leading to Heart Disease diagnosis.,Endocrinologist,Heart Disease,7
The condition appears to be high blood sugar combined with Conjunctivitis complications.,Endocrinologist,Conjunctivitis,2
Complaints of anxiety have been confirmed with Refractive Errors issues.,Ophthalmologist,Refractive Errors,4
Complaints of joint swelling have been confirmed with Arthritis issues.,Orthopedist,Arthritis,4
chest pain symptoms have been observed in this case leading to Conjunctivitis diagnosis.,Ophthalmologist,Conjunctivitis,3
Patient is experiencing chest pain due to Conjunctivitis.,Ophthalmologist,Conjunctivitis,5
Patient is experiencing high blood sugar due to Conjunctivitis.,Dermatologist,Conjunctivitis,1
itchy skin symptoms have been observed in this case leading to Arthritis diagnosis.,General Practitioner,Arthritis,1
anxiety symptoms have been observed in this case leading to Skin Rash diagnosis.,Psychiatrist,Skin Rash,2
chest pain symptoms have been observed in this case leading to Cataracts diagnosis.,Dermatologist,Cataracts,5
Patient is experiencing high blood sugar due to Cataracts.,Endocrinologist,Cataracts,1
Complaints of chest pain have been confirmed with Skin Rash issues.,Orthopedist,Skin Rash,2
anxiety symptoms have been observed in this case leading to Cataracts diagnosis.,Dermatologist,Cataracts,3
high blood sugar symptoms have been observed in this case leading to Cataracts diagnosis.,Dermatologist,Cataracts,3
Patient is experiencing chest pain due to Arthritis.,Cardiologist,Arthritis,7
Patient is experiencing chest pain due to Refractive Errors.,Endocrinologist,Refractive Errors,1
chest pain symptoms have been observed in this case leading to Cataracts diagnosis.,Dermatologist,Cataracts,8
The condition appears to be joint swelling combined with Cataracts complications.,Ophthalmologist,Cataracts,1
Complaints of chest pain have been confirmed with Diabetes issues.,General Practitioner,Diabetes,1
itchy skin symptoms have been observed in this case leading to Arthritis diagnosis.,Dermatologist,Arthritis,6
Patient is experiencing high blood sugar due to Heart Disease.,Orthopedist,Heart Disease,1
The condition appears to be chest pain combined with Arthritis complications.,Dermatologist,Arthritis,9
Patient is experiencing anxiety due to Conjunctivitis.,Endocrinologist,Conjunctivitis,2
joint swelling symptoms have been observed in this case leading to Arthritis diagnosis.,General Practitioner,Arthritis,5
Complaints of high blood sugar have been confirmed with Skin Rash issues.,Endocrinologist,Skin Rash,4
The condition appears to be joint swelling combined with Diabetes complications.,Psychiatrist,Diabetes,3
Patient is experiencing joint swelling due to Refractive Errors.,General Practitioner,Refractive Errors,2
Complaints of high blood sugar have been confirmed with Conjunctivitis issues.,Psychiatrist,Conjunctivitis,6
Complaints of anxiety have been confirmed with Diabetes issues.,Orthopedist,Diabetes,1
Complaints of blurry vision have been confirmed with Cataracts issues.,Endocrinologist,Cataracts,7
The condition appears to be high blood sugar combined with Arthritis complications.,General Practitioner,Arthritis,1
Complaints of itchy skin have been confirmed with Heart Disease issues.,Orthopedist,Heart Disease,4
chest pain symptoms have been observed in this case leading to Skin Rash diagnosis.,Endocrinologist,Skin Rash,5
Complaints of chest pain have been confirmed with Refractive Errors issues.,Psychiatrist,Refractive Errors,2
Complaints of itchy skin have been confirmed with Heart Disease issues.,Orthopedist,Heart Disease,9
chest pain symptoms have been observed in this case leading to Arthritis diagnosis.,Endocrinologist,Arthritis,2
Complaints of high blood sugar have been confirmed with Arthritis issues.,Orthopedist,Arthritis,3
Patient is experiencing high blood sugar due to Cataracts.,General Practitioner,Cataracts,9
Patient is experiencing blurry vision due to Heart Disease.,Endocrinologist,Heart Disease,3
Patient is experiencing high blood sugar due to Diabetes.,Psychiatrist,Diabetes,2
Complaints of anxiety have been confirmed with Conjunctivitis issues.,Ophthalmologist,Conjunctivitis,8
Complaints of itchy skin have been confirmed with Cataracts issues.,Ophthalmologist,Cataracts,6
Patient is experiencing itchy skin due to Heart Disease.,Cardiologist,Heart Disease,8
Patient is experiencing itchy skin due to Skin Rash.,Endocrinologist,Skin Rash,4
joint swelling symptoms have been observed in this case leading to Heart Disease diagnosis.,Dermatologist,Heart Disease,9
high blood sugar symptoms have been observed in this case leading to Skin Rash diagnosis.,Cardiologist,Skin Rash,10
chest pain symptoms have been observed in this case leading to Cataracts diagnosis.,Orthopedist,Cataracts,4
The condition appears to be anxiety combined with Conjunctivitis complications.,Dermatologist,Conjunctivitis,10
The condition appears to be anxiety combined with Refractive Errors complications.,Endocrinologist,Refractive Errors,3
The condition appears to be high blood sugar combined with Arthritis complications.,Ophthalmologist,Arthritis,1
Patient is experiencing itchy skin due to Conjunctivitis.,Endocrinologist,Conjunctivitis,4
Patient is experiencing joint swelling due to Cataracts.,Endocrinologist,Cataracts,7
Patient is experiencing blurry vision due to Refractive Errors.,Dermatologist,Refractive Errors,9
Patient is experiencing itchy skin due to Diabetes.,General Practitioner,Diabetes,1
Patient is experiencing anxiety due to Diabetes.,Dermatologist,Diabetes,3
The condition appears to be itchy skin combined with Arthritis complications.,Dermatologist,Arthritis,3
Patient is experiencing high blood sugar due to Skin Rash.,Ophthalmologist,Skin Rash,8
Complaints of joint swelling have been confirmed with Conjunctivitis issues.,Ophthalmologist,Conjunctivitis,6
Patient is experiencing joint swelling due to Cataracts.,Ophthalmologist,Cataracts,1
blurry vision symptoms have been observed in this case leading to Heart Disease diagnosis.,General Practitioner,Heart Disease,4
Complaints of anxiety have been confirmed with Arthritis issues.,General Practitioner,Arthritis,3
Patient is experiencing chest pain due to Refractive Errors.,General Practitioner,Refractive Errors,8
Complaints of joint swelling have been confirmed with Cataracts issues.,Endocrinologist,Cataracts,4
Patient is experiencing joint swelling due to Diabetes.,Dermatologist,Diabetes,5
Patient is experiencing anxiety due to Arthritis.,Cardiologist,Arthritis,8
Complaints of high blood sugar have been confirmed with Heart Disease issues.,Dermatologist,Heart Disease,5
blurry vision symptoms have been observed in this case leading to Skin Rash diagnosis.,Ophthalmologist,Skin Rash,6
chest pain symptoms have been observed in this case leading to Arthritis diagnosis.,Dermatologist,Arthritis,2
The condition appears to be high blood sugar combined with Heart Disease complications.,Psychiatrist,Heart Disease,8
chest pain symptoms have been observed in this case leading to Diabetes diagnosis.,Dermatologist,Diabetes,5
The condition appears to be anxiety combined with Refractive Errors complications.,Ophthalmologist,Refractive Errors,1
high blood sugar symptoms have been observed in this case leading to Heart Disease diagnosis.,Psychiatrist,Heart Disease,7
Complaints of chest pain have been confirmed with Cataracts issues.,Dermatologist,Cataracts,8
Patient is experiencing joint swelling due to Cataracts.,Cardiologist,Cataracts,6
Complaints of blurry vision have been confirmed with Arthritis issues.,Endocrinologist,Arthritis,10
The condition appears to be joint swelling combined with Conjunctivitis complications.,Psychiatrist,Conjunctivitis,9
The condition appears to be blurry vision combined with Conjunctivitis complications.,Ophthalmologist,Conjunctivitis,5
The condition appears to be joint swelling combined with Diabetes complications.,Orthopedist,Diabetes,2
anxiety symptoms have been observed in this case leading to Cataracts diagnosis.,Endocrinologist,Cataracts,5
high blood sugar symptoms have been observed in this case leading to Skin Rash diagnosis.,Endocrinologist,Skin Rash,9
itchy skin symptoms have been observed in this case leading to Conjunctivitis diagnosis.,Cardiologist,Conjunctivitis,10
Complaints of blurry vision have been confirmed with Diabetes issues.,Orthopedist,Diabetes,4
The condition appears to be itchy skin combined with Arthritis complications.,Orthopedist,Arthritis,8
anxiety symptoms have been observed in this case leading to Skin Rash diagnosis.,Orthopedist,Skin Rash,8
Complaints of itchy skin have been confirmed with Refractive Errors issues.,General Practitioner,Refractive Errors,6
Patient is experiencing blurry vision due to Conjunctivitis.,Psychiatrist,Conjunctivitis,4
The condition appears to be itchy skin combined with Diabetes complications.,Psychiatrist,Diabetes,3
Complaints of itchy skin have been confirmed with Skin Rash issues.,Cardiologist,Skin Rash,9
Complaints of itchy skin have been confirmed with Conjunctivitis issues.,Psychiatrist,Conjunctivitis,7
Complaints of chest pain have been confirmed with Skin Rash issues.,Psychiatrist,Skin Rash,1
Complaints of joint swelling have been confirmed with Cataracts issues.,Endocrinologist,Cataracts,10
Complaints of itchy skin have been confirmed with Heart Disease issues.,Cardiologist,Heart Disease,1
joint swelling symptoms have been observed in this case leading to Heart Disease diagnosis.,Psychiatrist,Heart Disease,7
blurry vision symptoms have been observed in this case leading to Diabetes diagnosis.,Psychiatrist,Diabetes,8
The condition appears to be high blood sugar combined with Refractive Errors complications.,Cardiologist,Refractive Errors,6
high blood sugar symptoms have been observed in this case leading to Arthritis diagnosis.,Dermatologist,Arthritis,3
joint swelling symptoms have been observed in this case leading to Conjunctivitis diagnosis.,Endocrinologist,Conjunctivitis,3
Patient is experiencing anxiety due to Cataracts.,Dermatologist,Cataracts,5
Complaints of itchy skin have been confirmed with Cataracts issues.,Endocrinologist,Cataracts,3
The condition appears to be chest pain combined with Arthritis complications.,Orthopedist,Arthritis,3
Patient is experiencing anxiety due to Conjunctivitis.,Orthopedist,Conjunctivitis,9
blurry vision symptoms have been observed in this case leading to Cataracts diagnosis.,General Practitioner,Cataracts,7
joint swelling symptoms have been observed in this case leading to Skin Rash diagnosis.,Ophthalmologist,Skin Rash,6
Patient is experiencing itchy skin due to Conjunctivitis.,General Practitioner,Conjunctivitis,8
joint swelling symptoms have been observed in this case leading to Skin Rash diagnosis.,Ophthalmologist,Skin Rash,9
Patient is experiencing joint swelling due to Conjunctivitis.,Endocrinologist,Conjunctivitis,1
Complaints of itchy skin have been confirmed with Heart Disease issues.,Cardiologist,Heart Disease,5
The condition appears to be high blood sugar combined with Skin Rash complications.,Orthopedist,Skin Rash,1
Complaints of high blood sugar have been confirmed with Diabetes issues.,Dermatologist,Diabetes,4
Complaints of blurry vision have been confirmed with Cataracts issues.,Psychiatrist,Cataracts,6
joint swelling symptoms have been observed in this case leading to Diabetes diagnosis.,Ophthalmologist,Diabetes,1
anxiety symptoms have been observed in this case leading to Cataracts diagnosis.,Ophthalmologist,Cataracts,5
joint swelling symptoms have been observed in this case leading to Heart Disease diagnosis.,Dermatologist,Heart Disease,9
Complaints of anxiety have been confirmed with Refractive Errors issues.,Dermatologist,Refractive Errors,10
anxiety symptoms have been observed in this case leading to Skin Rash diagnosis.,Endocrinologist,Skin Rash,5
anxiety symptoms have been observed in this case leading to Heart Disease diagnosis.,Dermatologist,Heart Disease,4
Complaints of itchy skin have been confirmed with Refractive Errors issues.,Ophthalmologist,Refractive Errors,8
Complaints of itchy skin have been confirmed with Skin Rash issues.,Dermatologist,Skin Rash,4
The condition appears to be blurry vision combined with Diabetes complications.,Dermatologist,Diabetes,1
anxiety symptoms have been observed in this case leading to Arthritis diagnosis.,Endocrinologist,Arthritis,1
The condition appears to be anxiety combined with Skin Rash complications.,Cardiologist,Skin Rash,6
joint swelling symptoms have been observed in this case leading to Arthritis diagnosis.,Orthopedist,Arthritis,9
Patient is experiencing itchy skin due to Refractive Errors.,Endocrinologist,Refractive Errors,4
The condition appears to be high blood sugar combined with Refractive Errors complications.,General Practitioner,Refractive Errors,6
anxiety symptoms have been observed in this case leading to Refractive Errors diagnosis.,Cardiologist,Refractive Errors,8
Patient is experiencing blurry vision due to Skin Rash.,Ophthalmologist,Skin Rash,1
The condition appears to be high blood sugar combined with Skin Rash complications.,Dermatologist,Skin Rash,1
Complaints of itchy skin have been confirmed with Refractive Errors issues.,Orthopedist,Refractive Errors,2
Complaints of itchy skin have been confirmed with Refractive Errors issues.,Cardiologist,Refractive Errors,3
high blood sugar symptoms have been observed in this case leading to Refractive Errors diagnosis.,General Practitioner,Refractive Errors,7
The condition appears to be joint swelling combined with Heart Disease complications.,Psychiatrist,Heart Disease,2
Patient is experiencing itchy skin due to Heart Disease.,Dermatologist,Heart Disease,8
anxiety symptoms have been observed in this case leading to Conjunctivitis diagnosis.,Ophthalmologist,Conjunctivitis,4
high blood sugar symptoms have been observed in this case leading to Refractive Errors diagnosis.,Cardiologist,Refractive Errors,6
The condition appears to be itchy skin combined with Conjunctivitis complications.,Psychiatrist,Conjunctivitis,10
Patient is experiencing high blood sugar due to Arthritis.,Dermatologist,Arthritis,9
The condition appears to be itchy skin combined with Heart Disease complications.,Ophthalmologist,Heart Disease,5
Complaints of high blood sugar have been confirmed with Skin Rash issues.,Dermatologist,Skin Rash,4
The condition appears to be itchy skin combined with Refractive Errors complications.,Cardiologist,Refractive Errors,4
Complaints of high blood sugar have been confirmed with Skin Rash issues.,Ophthalmologist,Skin Rash,7
chest pain symptoms have been observed in this case leading to Heart Disease diagnosis.,Cardiologist,Heart Disease,3
Complaints of joint swelling have been confirmed with Cataracts issues.,Cardiologist,Cataracts,7
Complaints of anxiety have been confirmed with Heart Disease issues.,Dermatologist,Heart Disease,1
Patient is experiencing chest pain due to Skin Rash.,Dermatologist,Skin Rash,7
joint swelling symptoms have been observed in this case leading to Skin Rash diagnosis.,Ophthalmologist,Skin Rash,3
high blood sugar symptoms have been observed in this case leading to Heart Disease diagnosis.,Ophthalmologist,Heart Disease,5
The condition appears to be chest pain combined with Cataracts complications.,Cardiologist,Cataracts,2
chest pain symptoms have been observed in this case leading to Conjunctivitis diagnosis.,Orthopedist,Conjunctivitis,5
blurry vision symptoms have been observed in this case leading to Diabetes diagnosis.,Dermatologist,Diabetes,9
The condition appears to be itchy skin combined with Skin Rash complications.,Dermatologist,Skin Rash,7
Patient is experiencing high blood sugar due to Cataracts.,General Practitioner,Cataracts,8
Patient is experiencing joint swelling due to Arthritis.,Ophthalmologist,Arthritis,1
high blood sugar symptoms have been observed in this case leading to Arthritis diagnosis.,Cardiologist,Arthritis,4
The condition appears to be chest pain combined with Cataracts complications.,Dermatologist,Cataracts,2
Patient is experiencing itchy skin due to Refractive Errors.,Dermatologist,Refractive Errors,2
Patient is experiencing itchy skin due to Diabetes.,Ophthalmologist,Diabetes,3
Patient is experiencing chest pain due to Diabetes.,Psychiatrist,Diabetes,8
The condition appears to be high blood sugar combined with Arthritis complications.,Cardiologist,Arthritis,1
Complaints of high blood sugar have been confirmed with Skin Rash issues.,Endocrinologist,Skin Rash,5
anxiety symptoms have been observed in this case leading to Skin Rash diagnosis.,Dermatologist,Skin Rash,6
Patient is experiencing anxiety due to Skin Rash.,Ophthalmologist,Skin Rash,1
Complaints of joint swelling have been confirmed with Skin Rash issues.,Psychiatrist,Skin Rash,2
Patient is experiencing joint swelling due to Diabetes.,Psychiatrist,Diabetes,2
The condition appears to be blurry vision combined with Conjunctivitis complications.,Endocrinologist,Conjunctivitis,1
joint swelling symptoms have been observed in this case leading to Arthritis diagnosis.,Ophthalmologist,Arthritis,10
joint swelling symptoms have been observed in this case leading to Conjunctivitis diagnosis.,Orthopedist,Conjunctivitis,8
anxiety symptoms have been observed in this case leading to Skin Rash diagnosis.,Ophthalmologist,Skin Rash,2
Patient is experiencing anxiety due to Heart Disease.,Dermatologist,Heart Disease,9
Patient is experiencing itchy skin due to Skin Rash.,Psychiatrist,Skin Rash,1
Patient is experiencing blurry vision due to Diabetes.,Dermatologist,Diabetes,2
Patient is experiencing high blood sugar due to Skin Rash.,Dermatologist,Skin Rash,10
The condition appears to be joint swelling combined with Skin Rash complications.,General Practitioner,Skin Rash,5
