Comment,Specialist,Subclass,Severity
I have frequent panic attacks and constant worry. I've been experiencing this since last year. The intensity is mild but persistent. It limits my ability to engage in social activities. Therapy and medication provide some relief. It tends to get worse after major life changes..,Psychiatry,Psychotic Disorders,10
"My hormone levels are imbalanced, and I'm dealing with hot flashes. I've been experiencing this for a month. The condition is fluctuating and seems to worsen during periods of stress.",Endocrinologist,Pituitary Disorders,3
I'm not breathing and my heart has stopped beating. I've been experiencing this for a month. The condition is nauseating and seems to worsen following drug use.,Emergency Medicine Specialist,Cardiac Arrest,4
My joints are inflamed and sore. I've been experiencing this for a week. The intensity is extreme and unbearable. I have difficulty sleeping due to the pain. Hot or cold compresses provide temporary relief. It tends to get worse after a stressful day.,Rheumatology,Gout,3
I'm experiencing vision loss from diabetic retinopathy. I've been experiencing this for a year. The condition is red and seems to worsen when exposed to bright lights.,Ophthalmologist,Age-related Macular Degeneration (AMD),8
I've lost a lot of weight without trying. The pain is located in the on the right side of the abdomen. The pain started suddenly. The intensity is mild but annoying. It makes it hard to concentrate at work. Only relieved by lying down.,Surgical Gastroenterology,Pancreatitis,4
I've noticed my heart races after eating large meals. I've been experiencing this a few days. The condition is persistent and seems to worsen physical activity.,Cardiology,Angina,5
I feel lightheaded and have muscle cramps due to calcium imbalances. I've been experiencing this for a year. The condition is imbalanced and seems to worsen after a lack of sleep.,Endocrinologist,Polycystic Ovary Syndrome (PCOS),4
"My hands tremble uncontrollably, and I find it hard to write. I've been experiencing this for a few days. The pain is dull and seems to worsen when I'm tired.",Neurologist,Migraine Headaches,6
Tennis elbow is causing pain in my elbow. I've been dealing with this since last winter. The intensity is extreme and overwhelming. I have difficulty with physical activities. No significant relief found. It tends to get worse following injury or trauma..,Orthopedics,Fractures,7
There's a lot of swelling around my abdominal area. I've been experiencing this for a few days. The condition is constant and seems to worsen when exposed to cold temperatures.,Hepatologist,Hepatic Encephalopathy,2
I have sharp abdominal pain and nausea. I've been experiencing this for a week. The condition is unresponsive and seems to worsen during strenuous physical activity.,Emergency Medicine Specialist,Fractures and Dislocations,3
I've noticed blue or purple skin color on my lips. I've been experiencing this over a year. The condition is dull and seems to worsen eating.,Cardiology,Congenital heart disease,1
I'm having difficulty breathing. I've been experiencing this for several months. The intensity is moderate and uncomfortable. It makes it hard to work or concentrate. Avoiding certain allergens helps manage the symptoms. It tends to get worse when exposed to cold air..,Pulmonology,Chronic Obstructive Pulmonary Disease (COPD),8
Eczema has been affecting my child's skin. for several months. Intensity: mild. It impacts school performance.. Improves with rest and care.. Worsens during growth spurts..,Pediatrics,Attention Deficit Hyperactivity Disorder (ADHD),5
I have difficulty understanding or remembering medical instructions. I've been experiencing this for a few days. The condition is chronic and seems to worsen when feeling stressed.,Geriatrician,Visual and Hearing Impairments,3
I feel short of breath even with minimal activity. I've been experiencing this for a month. The intensity is extreme and unbearable. I can't engage in physical activities I used to enjoy. There is no significant relief despite treatments. It tends to get worse when exposed to cold air..,Pulmonology,Sarcoidosis,3
Pulmonary thromboendarterectomy resulted in a feeling of heaviness and occasional discomfort. I've been experiencing this for a week. The condition is painful and seems to worsen due to physical activity.,Cardiothoracic Surgeon,Mediastinal tumor resection,9
My joints are inflamed and sore. I've been experiencing this since last winter. The intensity is extreme and unbearable. It makes it hard to work or concentrate. There is no significant relief despite treatments. It tends to get worse after a stressful day.,Rheumatology,Psoriatic Arthritis,6
I've been diagnosed with a perforated ulcer causing severe abdominal pain. I've been experiencing this for a few days. The condition is discomforting and seems to worsen after eating fatty foods.,General Surgeon,Perforated Ulcer,1
"I'm experiencing frequent and urgent need to urinate, especially at night. I've been experiencing this for a month. The pain is throbbing and seems to worsen when I stand for long periods.",Nephrologist,Kidney Stones,9
I am undergoing cardiac rehabilitation after heart surgery. I've been dealing with this for a week. The intensity is mild but persistent. It affects my ability to perform daily activities. I feel better with specialized exercises. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Pulmonary Rehabilitation,3
There's been a head injury. for several months. Intensity: mild. It impacts play and learning.. Relief with medication.. Worsens after physical activity..,Pediatric Surgery,Inguinal Hernias,2
I have severe pain in my stomach. The pain is located in the radiating to the back. It is constant and unrelenting. The intensity is mild but annoying. I have difficulty performing daily activities. No relief with any treatment tried so far.,Surgical Gastroenterology,"Hernias (Inguinal, Hiatal)",8
Ensuring immunizations and preventive care. for a month. Intensity: mild. It requires regular check-ups.. Improves with rest and care.. Worsens after physical exertion..,Pediatrics,Developmental Delays,10
I have trouble maintaining an erection. I've been experiencing this for a month. The condition is itchy and seems to worsen when I get stressed.,Urology,Bladder Cancer,10
I am undergoing gait and balance training to improve stability. I've been dealing with this for a month. The intensity is mild but persistent. I have difficulty with basic movements. Assistive devices provide some relief. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Assistive Device Training,3
I am undergoing therapy for traumatic brain injury. I've been dealing with this for a year. The intensity is extreme and overwhelming. I have difficulty with basic movements. Assistive devices provide some relief. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Cardiac Rehabilitation,10
"I've been vomiting frequently, and my abdomen is swollen. I've been experiencing this for a week. The pain is gnawing and seems to worsen at night.",Oncologist,Thyroid Cancer,5
Ear infections are recurring in my child. for a week. Intensity: severe. It affects daily activities.. No significant relief found.. Worsens after physical exertion..,Pediatrics,Gastroenteritis,8
I have trouble maintaining an erection. I've been experiencing this for a month. The condition is red and inflamed and seems to worsen in cold weather.,Urology,Erectile Dysfunction,6
I've noticed a lump in my mouth that hasn't gone away. I've been experiencing this for a month. The condition is red and inflamed and seems to worsen after eating certain foods.,Dental/OMFS,Dental implants,1
My fingers are swollen and painful. I've been experiencing this for a year. The intensity is extreme and unbearable. I struggle with basic movements like standing or sitting. Hot or cold compresses provide temporary relief. It tends to get worse after a stressful day.,Rheumatology,Fibromyalgia,3
I took an overdose of medication and feel disoriented. I've been experiencing this for a few hours. The condition is painful and seems to worsen after ingesting a harmful substance.,Emergency Medicine Specialist,Respiratory Failure,3
"My speech has become slurred, and I have difficulty swallowing. I've been experiencing this for a year. The pain is spasmodic and seems to worsen in the morning.",Neurologist,Alzheimer's Disease,4
My dentures don't fit properly and cause pain. I've been experiencing this for several months. The condition is itchy and seems to worsen in cold weather.,Dental/OMFS,Oral cancer surgery,6
"My energy levels are low, and I struggle to stay active throughout the day. I've been experiencing this for several months. The condition is painful and seems to worsen due to environmental changes.",General Medicine Specialist,Chronic Kidney Disease (CKD),6
"Since the esophageal cancer surgery, I have been feeling persistent pressure and occasional discomfort. I've been experiencing this for several months. The condition is discomforting and seems to worsen in cold weather.",Cardiothoracic Surgeon,Pericardial window creation,3
I experience frequent nausea and abdominal pain. I've been experiencing this for a month. The condition is difficult and seems to worsen during periods of stress.,Endocrinologist,Hyperparathyroidism and hypoparathyroidism,3
Ensuring immunizations and preventive care. for a month. Intensity: mild. It limits physical activities.. Improves with rest and care.. Worsens after a stressful event..,Pediatrics,Asthma,4
I have a burning sensation in my chest. The pain is located in the under the ribs. The symptoms gradually worsened over time. The intensity is moderate and uncomfortable. It limits my physical activity. Only relieved by lying down.,Surgical Gastroenterology,"Inflammatory Bowel Disease (Crohn's Disease, Ulcerative Colitis)",10
I've injured my ACL and need rehabilitation. I've been dealing with this for a week. The intensity is mild but persistent. It affects my daily activities. Gets better with physical therapy. It tends to get worse after physical exertion..,Orthopedics,Rheumatoid Arthritis,8
I'm having difficulty breathing. I've been experiencing this for a couple of weeks. The intensity is extreme and unbearable. It affects my ability to perform daily tasks. There is no significant relief despite treatments. It tends to get worse after a respiratory infection..,Pulmonology,Pulmonary Fibrosis,3
I am undergoing gait and balance training to improve stability. I've been dealing with this for a month. The intensity is severe and debilitating. I have difficulty with basic movements. Assistive devices provide some relief. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Gait and Balance Training,2
I am unhappy with the appearance of my nose. I've been dealing with this for a week. The intensity is mild but persistent. I struggle with physical limitations due to the condition. Pain is slightly eased with medication. It tends to get worse due to underlying health conditions..,Plastic Surgery,Breast Surgery & Reconstruction,4
I have a severe toothache. I've been experiencing this for a few days. The condition is red and inflamed and seems to worsen after exposure to the sun.,Dental/OMFS,Facial trauma,6
I require rehabilitation following an amputation. I've been dealing with this since last winter. The intensity is severe and debilitating. I struggle with work-related tasks due to the condition. Assistive devices provide some relief. It tends to get worse due to underlying health conditions..,Physical Medicine and Rehabilitation,Amputation Rehabilitation,1
I'm experiencing high blood pressure and occasional headaches. I've been experiencing this for a month. The condition is persistent and seems to worsen during seasonal changes.,General Medicine Specialist,Diabetes Mellitus,2
"One of my eyelids is drooping, causing vision issues. I've been experiencing this for a few days. The condition is painful and seems to worsen during allergy season.",Ophthalmologist,Keratoconus,1
I have sharp abdominal pain and nausea. I've been experiencing this for a month. The condition is unresponsive and seems to worsen after ingesting a harmful substance.,Emergency Medicine Specialist,Stroke,7
I'm experiencing frequent nausea. The pain is located in the upper abdomen. The pain started suddenly. The intensity is extreme and unbearable. It interferes with my sleep. Eases when I avoid certain foods.,Surgical Gastroenterology,Hepatitis,8
I've had a heart attack in the past and feel chest discomfort. I've been experiencing this over a year. The condition is sharp and seems to worsen eating.,Cardiology,Coronary artery disease,3
I'm getting skin discoloration on my neck. I've been experiencing this for several months. The condition is dry and seems to worsen after using a new skincare product.,Dermatologist,Rosacea,3
I have persistent stiffness in my joints. I've been experiencing this for the past few years. The intensity is severe and debilitating. I have difficulty sleeping due to the pain. Hot or cold compresses provide temporary relief. It tends to get worse when I wake up in the morning.,Rheumatology,Reactive Arthritis,3
I had a severe allergic reaction and am having trouble breathing. I've been experiencing this for a day. The condition is disorienting and seems to worsen after an allergic reaction.,Emergency Medicine Specialist,Cardiac Arrest,10
There is swelling in my jaw after surgery. I've been experiencing this for a year. The condition is red and inflamed and seems to worsen in cold weather.,Dental/OMFS,Cleft lip and palate repair,4
"I have noticed a chronic, productive cough. I've been experiencing this since childhood. The intensity is severe and debilitating. It makes it hard to work or concentrate. There is no significant relief despite treatments. It tends to get worse after a respiratory infection..",Pulmonology,Bronchiectasis,7
"I feel muscle weakness, and it's becoming harder to breathe. I've been experiencing this for a few days. The pain is persistent and seems to worsen in the morning.",Neurologist,Spinal Cord Injury,4
I've been diagnosed with angina and it flares up during exercise. I've been experiencing this since yesterday. The condition is stabbing and seems to worsen intense exercise.,Cardiology,Peripheral artery disease,2
My skin has developed a rash that seems related to my diabetes. I've been experiencing this for a month. The condition is burning and seems to worsen after physical exertion.,Diabetologist,Diabetic Gastroparesis,1
I'm haunted by past trauma and flashbacks. I've been experiencing this since childhood. The intensity is severe and debilitating. I have difficulty maintaining relationships. There is no significant relief despite various treatments. It tends to get worse when faced with specific phobias..,Psychiatry,Bipolar Disorder,4
I have persistent discomfort and burning in my throat. I've been experiencing this for a few days. The pain is stabbing and seems to worsen after a heavy meal.,Gastroenterologist,Gastroesophageal Reflux Disease (GERD),7
My night vision is worsening from retinitis pigmentosa. I've been experiencing this for several months. The condition is dry and seems to worsen during allergy season.,Ophthalmologist,Blepharitis,9
I've been experiencing increased thirst and frequent urination. I've been experiencing this for a week. The condition is blurry vision and seems to worsen after consuming caffeinated beverages.,Diabetologist,Diabetic Neuropathy,1
I noticed a persistent cough that won't go away. I've been experiencing this for a month. The pain is sharp and seems to worsen when I'm lying down.,Oncologist,Prostate Cancer,9
I have a sore throat and a constant urge to clear my throat. I've been experiencing this for a week. The condition is uncomfortable and seems to worsen during periods of high stress.,ENT Specialist,Tonsillitis,6
I'm concerned about preterm labor risks. I've been experiencing this for a few days. The condition is severe and seems to worsen when stressed.,Obstetrics & Gynecology,Cervical Dysplasia,8
My fingers are swollen and painful. I've been experiencing this for several months. The intensity is extreme and unbearable. I can't engage in physical activities I used to enjoy. I feel better with over-the-counter pain relief. It tends to get worse when I wake up in the morning.,Rheumatology,Gout,10
"There's a heavy feeling in my chest, especially after meals. I've been experiencing this over a year. The condition is throbbing and seems to worsen lying down.",Cardiology,Heart failure,4
My skin is darkening in certain areas. I've been experiencing this for a year. The condition is itchy and seems to worsen after eating certain foods.,Dermatologist,Keloids,10
The doctor recommended a follow-up scan. I have been experiencing symptoms for a week. I'm still worried despite the clear results. The outcome was that The scan showed minor abnormalities.. I needed to drink a special solution.,Radiology,Fluoroscopy,1
I have occasional fever and chills with no apparent infection. I've been experiencing this for a month. The condition is persistent and seems to worsen due to environmental changes.,General Medicine Specialist,Asthma,9
"My body aches all over, and I often feel exhausted. I've been experiencing this for several months. The condition is annoying and seems to worsen following medication changes.",General Medicine Specialist,Osteoarthritis,2
I've been told I have cervical dysplasia. I've been experiencing this for a month. The condition is irregular and seems to worsen in the mornings.,Obstetrics & Gynecology,Preterm Labor,5
There's a loud heartbeat that I can hear in my ears. I've been experiencing this since yesterday. The condition is throbbing and seems to worsen cold weather.,Cardiology,Pericarditis,2
My wisdom teeth are causing discomfort. I've been experiencing this for a year. The condition is dry and seems to worsen after exposure to the sun.,Dental/OMFS,Dental infections,8
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for a year. The condition is red and inflamed and seems to worsen after eating certain foods.,Urology,Cryptorchidism,4
The thoracic aortic aneurysm repair caused some residual discomfort and occasional sharp pains. I've been experiencing this for a year. The condition is healing and seems to worsen in cold weather.,Cardiothoracic Surgeon,Coronary artery bypass grafting (CABG),9
"My voice has changed, and I have difficulty breathing. I've been experiencing this for a week. The pain is throbbing and seems to worsen after consuming dairy products.",Oncologist,Lung Cancer,6
There is blood in my stool. The pain is located in the upper abdomen. The pain started suddenly. The intensity is extreme and unbearable. It makes it hard to concentrate at work. Improves slightly with over-the-counter medication.,Surgical Gastroenterology,Diverticulitis,1
I have chronic constipation and abdominal cramping. I've been experiencing this for a week. The condition is intense and seems to worsen after prolonged sitting.,General Surgeon,Diverticulitis,3
I'm dealing with persistent wheezing. I've been experiencing this for a year. The intensity is moderate and uncomfortable. I have difficulty sleeping due to the breathing issues. Using a nebulizer provides temporary relief. It tends to get worse when exposed to cold air..,Pulmonology,Tuberculosis (TB),6
I had to stay still for a long time during the scan. I have been experiencing symptoms for the past few years. I was reassured by the doctor's explanation. The outcome was that The imaging suggested further tests.. I was given a contrast injection.,Radiology,Myelography,5
I am undergoing cardiac rehabilitation after heart surgery. I've been dealing with this for several months. The intensity is mild but persistent. I struggle with work-related tasks due to the condition. Pain is slightly eased with therapy. It tends to get worse following recent surgery..,Physical Medicine and Rehabilitation,Amputation Rehabilitation,5
I've developed a severe sunburn that isn't healing. I've been experiencing this for several months. The condition is itchy and seems to worsen after exposure to the sun.,Dermatologist,Keloids,5
I'm experiencing severe joint pain. I've been experiencing this for a year. The intensity is moderate and uncomfortable. I struggle with basic movements like standing or sitting. There is no significant relief despite treatments. It tends to get worse after prolonged periods of inactivity.,Rheumatology,Juvenile Idiopathic Arthritis,6
My dentures don't fit properly and cause pain. I've been experiencing this for a week. The condition is itchy and seems to worsen in cold weather.,Dental/OMFS,Bone grafting,2
My skin is extremely dry and itchy all over. I've been experiencing this for several months. The pain is throbbing and seems to worsen during times of dehydration.,Nephrologist,Chronic Kidney Disease (CKD),4
I've noticed my heart races after eating large meals. I've been experiencing this several months. The condition is gradual and seems to worsen lying down.,Cardiology,Angina,2
I experience frequent headaches due to fluctuating glucose levels. I've been experiencing this for several months. The condition is burning and seems to worsen in cold weather.,Diabetologist,Diabetic Ketoacidosis (DKA),8
I've had episodes of fainting without any warning. I've been experiencing this just today. The condition is gradual and seems to worsen lying down.,Cardiology,Myocardial infarction,3
I have trouble breathing when I lie down. I've been experiencing this for many years. The condition is dull and seems to worsen intense exercise.,Cardiology,Endocarditis,6
I have a cleft lip that needs surgical correction. I've been dealing with this since childhood. The intensity is moderate and uncomfortable. It impacts my self-esteem and confidence. There is no significant relief despite treatments. It tends to get worse after a physical injury..,Plastic Surgery,Cosmetic Surgery,5
My digestion has become irregular and painful. I've been experiencing this for a few days. The condition is numb and seems to worsen in cold weather.,Diabetologist,Diabetic Gastroparesis,1
My skin is extremely dry and itchy all over. I've been experiencing this for two weeks. The pain is sharp and seems to worsen after eating high-protein meals.,Nephrologist,Renal Tubular Acidosis (RTA),5
I have persistent bad breath despite brushing regularly. I've been experiencing this for a few days. The condition is painful and seems to worsen when I get stressed.,Dental/OMFS,Wisdom teeth removal,1
There's a persistent pain in my left arm that radiates to my chest. I've been experiencing this a few weeks. The condition is gradual and seems to worsen emotional stress.,Cardiology,Arrhythmias,1
I have a hard lump in my breast that is increasing in size. I've been experiencing this for several months. The condition is discomforting and seems to worsen following a trauma.,General Surgeon,Fissures and Fistulas,2
"My bone density is decreasing, and I'm at risk for osteoporosis. I've been experiencing this for a month. The condition is severe and seems to worsen after a lack of sleep.",Endocrinologist,Hyperparathyroidism and hypoparathyroidism,10
I am in need of neurological rehabilitation after a condition. I've been dealing with this for the past few years. The intensity is extreme and overwhelming. It impacts my quality of life significantly. Assistive devices provide some relief. It tends to get worse after engaging in strenuous activities..,Physical Medicine and Rehabilitation,Stroke Rehabilitation,9
Dupuytren Contracture is affecting my hand function. I've been dealing with this for a few days. The intensity is severe and debilitating. It limits my social interactions. Gets better with physical therapy. It tends to get worse during weather changes..,Orthopedics,Fractures,10
I have a painful and swollen area under my skin with noticeable redness. I've been experiencing this for several weeks. The condition is intense and seems to worsen following surgical procedures.,General Surgeon,Diverticulitis,6
"My skin has turned yellow, and I feel very sick. I've been experiencing this for a month. The pain is gnawing and seems to worsen at night.",Oncologist,Stomach (Gastric) Cancer,8
I've noticed my movements are slower and more rigid. I've been experiencing this for several months. The pain is sharp and seems to worsen after taking certain medications.,Neurologist,Parkinson's Disease,1
My muscles feel weak and fatigued. I've been experiencing this for several months. The intensity is severe and debilitating. I can't engage in physical activities I used to enjoy. There is no significant relief despite treatments. It tends to get worse after a stressful day.,Rheumatology,Systemic Lupus Erythematosus (SLE),9
I've developed a persistent cough and shortness of breath. I've been experiencing this for a year. The condition is itchy and seems to worsen when I forget to take my medication.,Diabetologist,Hypoglycemia,9
I experience severe bone pain and fractures easily. I've been experiencing this for a year. The condition is unpredictable and seems to worsen after a recent illness.,Endocrinologist,Menopause and hormone replacement therapy,1
"I underwent mediastinal tumor resection, and I'm experiencing some post-surgical pain and pressure. I've been experiencing this for several months. The condition is painful and seems to worsen during recovery.",Cardiothoracic Surgeon,Valve repair/replacement,9
The results were clear and informative. I have been experiencing symptoms since last winter. I'm still worried despite the clear results. The outcome was that The scan showed minor abnormalities.. I needed to drink a special solution.,Radiology,Mammography,4
I've lost a lot of weight without trying. The pain is located in the under the ribs. It comes and goes in waves. The intensity is severe and debilitating. It limits my physical activity. Only relieved by lying down.,Surgical Gastroenterology,Gastric Cancer,3
My gums are bleeding every time I brush. I've been experiencing this for a week. The condition is itchy and seems to worsen after exposure to the sun.,Dental/OMFS,Facial reconstruction,4
My skin reacts to any new skincare product. I've been experiencing this for a month. The condition is scaly and seems to worsen after using a new skincare product.,Dermatologist,Eczema,10
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for a week. The condition is painful and seems to worsen after drinking alcohol.,Urology,Urethral Stricture,2
I've been having trouble sleeping and often wake up restless. I've been experiencing this for a few days. The pain is burning and seems to worsen during the night.,Nephrologist,Polycystic Kidney Disease (PKD),9
Ensuring immunizations and preventive care. for a couple of weeks. Intensity: extreme. It requires regular check-ups.. Better with specific treatments.. Worsens following certain foods..,Pediatrics,Gastroenteritis,8
Dupuytren Contracture is affecting my hand function. I've been dealing with this for a couple of weeks. The intensity is extreme and overwhelming. It limits my social interactions. No significant relief found. It tends to get worse after prolonged inactivity..,Orthopedics,Tennis Elbow,1
My blood pressure is constantly high despite medication. I've been experiencing this several months. The condition is gradual and seems to worsen lying down.,Cardiology,Valvular heart disease,6
I'm experiencing mood swings and difficulties with focus. I've been experiencing this for a few days. The condition is elevated and seems to worsen after a lack of sleep.,Endocrinologist,Thyroid Disorders,8
My joints are stiff and sore without any apparent reason. I've been experiencing this for about a year. The pain is throbbing and seems to worsen when I lie down.,Nephrologist,"Electrolyte Imbalance (e.g., Hyperkalemia, Hyponatremia)",4
I've noticed bruises appearing easily on my skin. I've been experiencing this for about a year. The pain is sharp and seems to worsen when I stand for long periods.,Nephrologist,"Electrolyte Imbalance (e.g., Hyperkalemia, Hyponatremia)",10
The diaphragmatic hernia repair has led to ongoing discomfort and a feeling of tightness. I've been experiencing this for a few days. The condition is healing and seems to worsen due to physical activity.,Cardiothoracic Surgeon,Lung cancer surgery,6
I am undergoing therapy for traumatic brain injury. I've been dealing with this since childhood. The intensity is mild but persistent. It affects my ability to perform daily activities. There is no significant relief despite treatments. It tends to get worse due to complications from previous treatments..,Physical Medicine and Rehabilitation,Spinal Cord Injury Rehabilitation,1
Pediatric hypertension is being monitored. since birth. Intensity: severe. It limits physical activities.. Relief with prescribed medication.. Worsens after a stressful event..,Pediatrics,Pediatric Diabetes,5
"I feel nauseous all the time, and my stomach is swollen. I've been experiencing this for a few days. The pain is burning and seems to worsen at night.",Oncologist,Prostate Cancer,6
I feel short of breath even with minimal activity. I've been experiencing this since last winter. The intensity is moderate and uncomfortable. It makes it hard to work or concentrate. The symptoms are slightly eased with medication. It tends to get worse during seasonal changes..,Pulmonology,Bronchiectasis,9
I have chronic wounds that require specialized microsurgery. I've been dealing with this since last year. The intensity is mild but persistent. It limits my ability to engage in social activities. I feel better with physical therapy. It tends to get worse after a physical injury..,Plastic Surgery,Microsurgery & Replantation,4
"I've undergone a biopsy of a swollen lymph node, and I'm awaiting results. I've been experiencing this for a few days. The condition is chronic and seems to worsen when lifting heavy objects.",General Surgeon,Colon Cancer,8
My heartbeat feels unusually slow at times. I've been experiencing this a few hours. The condition is dull and seems to worsen cold weather.,Cardiology,Cardiomyopathy,5
I experience delusions and hallucinations. I've been experiencing this for the past few years. The intensity is moderate and uncomfortable. It affects my overall quality of life. I feel slightly better after engaging in hobbies. It tends to get worse during periods of high stress..,Psychiatry,"Anxiety Disorders (e.g., Generalized Anxiety Disorder, Panic Disorder)",7
My blood pressure spikes randomly throughout the day. I've been experiencing this over a year. The condition is dull and seems to worsen lying down.,Cardiology,Coronary artery disease,5
My skin feels tight and dry after washing. I've been experiencing this for a few days. The condition is scaly and seems to worsen after eating certain foods.,Dermatologist,Acne,7
I'm frequently feeling fatigued due to breathing problems. I've been experiencing this for a year. The intensity is mild but persistent. It affects my ability to perform daily tasks. There is no significant relief despite treatments. It tends to get worse during seasonal changes..,Pulmonology,Sleep Apnea,7
I've developed a high fever and rapid breathing. I've been experiencing this for several days. The condition is critical and seems to worsen following exposure to chemicals.,Emergency Medicine Specialist,Poisoning,6
I suffered an injury to my abdomen that has led to persistent pain. I've been experiencing this for a month. The condition is severe and seems to worsen after engaging in physical activity.,General Surgeon,Breast Cancer,8
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for a week. The condition is scaly and seems to worsen after drinking alcohol.,Urology,Benign Prostatic Hyperplasia (BPH),8
I'm getting skin discoloration on my neck. I've been experiencing this for a few days. The condition is painful and seems to worsen after using a new skincare product.,Dermatologist,Vitiligo,9
I have ongoing issues with substance dependence. I've been experiencing this since last year. The intensity is severe and debilitating. It limits my ability to engage in social activities. I feel slightly better after engaging in hobbies. It tends to get worse following traumatic events..,Psychiatry,Attention Deficit Hyperactivity Disorder (ADHD),3
My wisdom teeth are causing discomfort. I've been experiencing this for a month. The condition is red and inflamed and seems to worsen after using a new dental product.,Dental/OMFS,Facial trauma,7
I've experienced a fluttering sensation in my chest. I've been experiencing this a few days. The condition is gradual and seems to worsen emotional stress.,Cardiology,Atrial fibrillation,6
I am undergoing therapy for traumatic brain injury. I've been dealing with this since last winter. The intensity is mild but persistent. It impacts my quality of life significantly. There is no significant relief despite treatments. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Pulmonary Rehabilitation,8
My stomach feels full even when I haven't eaten much. I've been experiencing this for a week. The pain is persistent and seems to worsen at night.,Gastroenterologist,Peptic Ulcer Disease,6
I have ongoing issues with substance dependence. I've been experiencing this for a month. The intensity is mild but persistent. It limits my ability to engage in social activities. Support from family and friends helps. It tends to get worse during periods of high stress..,Psychiatry,Schizophrenia,3
My mood swings are severe and unpredictable. I've been experiencing this since childhood. The intensity is moderate and uncomfortable. It limits my ability to engage in social activities. There is no significant relief despite various treatments. It tends to get worse following traumatic events..,Psychiatry,Psychotic Disorders,5
I've been having trouble sleeping and often wake up restless. I've been experiencing this for a day. The pain is dull and seems to worsen after consuming alcohol.,Nephrologist,Renal Artery Stenosis,7
I've developed a strange rash after swimming. I've been experiencing this for a year. The condition is red and inflamed and seems to worsen after exposure to the sun.,Dermatologist,Acne,3
I have osteoarthritis affecting my knees. I've been dealing with this for a couple of weeks. The intensity is mild but persistent. I have difficulty with physical activities. Improves with prescribed medication. It tends to get worse after prolonged inactivity..,Orthopedics,Tendonitis,2
Asthma symptoms are worsening in my child. for a week. Intensity: mild. It impacts school performance.. Better with specific treatments.. Worsens after physical exertion..,Pediatrics,Pediatric Hypertension,1
I need vocational rehabilitation to return to work. I've been dealing with this for a month. The intensity is extreme and overwhelming. It affects my ability to perform daily activities. I feel better with specialized exercises. It tends to get worse following recent surgery..,Physical Medicine and Rehabilitation,Gait and Balance Training,9
I suddenly lost vision and have severe headache and weakness. I've been experiencing this for several days. The condition is intense and seems to worsen after ingesting a harmful substance.,Emergency Medicine Specialist,Cardiac Arrest,1
I experience regular bouts of shortness of breath. I've been experiencing this for a few days. The intensity is severe and debilitating. It makes it hard to work or concentrate. Avoiding certain allergens helps manage the symptoms. It tends to get worse when exposed to cold air..,Pulmonology,Pneumonia,6
"One of my eyelids is drooping, causing vision issues. I've been experiencing this for a week. The condition is dry and seems to worsen after long hours of reading.",Ophthalmologist,Conjunctivitis (Pink Eye),1
I'm dealing with chronic wounds on my foot due to diabetes. I've been dealing with this since childhood. The intensity is extreme and overwhelming. I struggle with physical limitations due to the condition. I feel better with physical therapy. It tends to get worse due to underlying health conditions..,Plastic Surgery,Microsurgery Lab,6
I noticed a persistent cough that won't go away. I've been experiencing this for several months. The pain is gnawing and seems to worsen when I'm stressed.,Oncologist,Brain Tumors,2
I've developed hives after eating certain foods. I've been experiencing this for a week. The condition is scaly and seems to worsen after eating certain foods.,Dermatologist,Warts,6
I have a cleft lip that needs surgical correction. I've been dealing with this for a few days. The intensity is severe and debilitating. It limits my ability to engage in social activities. Specialized wound care provides some relief. It tends to get worse after a physical injury..,Plastic Surgery,Cancer Reconstruction,1
I am undergoing cardiac rehabilitation after heart surgery. I've been dealing with this for a week. The intensity is moderate and uncomfortable. I have difficulty with basic movements. Assistive devices provide some relief. It tends to get worse following recent surgery..,Physical Medicine and Rehabilitation,Pulmonary Rehabilitation,4
I'm experiencing frequent nausea. The pain is located in the on the right side of the abdomen. It comes and goes in waves. The intensity is severe and debilitating. It makes it hard to concentrate at work. Only relieved by lying down.,Surgical Gastroenterology,Gastroesophageal Reflux Disease (GERD),4
Hypospadias issue. for a week. Intensity: extreme. It impacts play and learning.. Better with specific treatments.. Worsens during growth spurts..,Pediatric Surgery,Congenital Anomalies,6
I have a burning sensation during urination. I've been experiencing this for several months. The condition is itchy and seems to worsen in cold weather.,Urology,Incontinence (Urinary and Fecal),3
Thoracoscopic lung surgery left me with occasional pain and a sense of tightness in my chest. I've been experiencing this for a month. The condition is painful and seems to worsen in cold weather.,Cardiothoracic Surgeon,Coronary artery bypass grafting (CABG),10
My joints are inflamed and sore. I've been experiencing this for the past few years. The intensity is moderate and uncomfortable. It affects my ability to perform daily tasks. There is no significant relief despite treatments. It tends to get worse after prolonged periods of inactivity.,Rheumatology,Vasculitis,7
